Time [ns],V(AM_SI) [mV],V(SI) [mV],Time [ns],V(AM_SI) [mV],V(SI) [mV]
31.61271087,-157.858307,-158.0072362,3.2625E-08,-112.74587,-112.8530263
31.75036426,-9.064548586,-9.180654339,3.275E-08,-6.46E+00,-6.53964699
31.88801765,144.9460946,144.9279422,3.2875E-08,103.4831157,103.4699665
32.02567104,216.03078,216.1205872,0.000000033,160.2147458,160.2778347
32.14575432,175.483397,175.6277272,3.3125E-08,1.35E+02,135.4126479
32.2658376,54.57002669,54.7047085,3.325E-08,42.06348331,42.16829372
32.38592088,-91.35643043,-91.29113981,3.3375E-08,-68.85781796,-68.8045775
32.5,-192.2856626,-192.3138635,3.35E-08,-1.44E+02,-144.2659714
32.50893667,-197.2050514,-197.240803,3.3625E-08,-196.9282011,-196.9638877
32.51787335,-201.5707396,-201.6139119,3.375E-08,-203.0723256,-203.1190609
32.5357467,-208.9395998,-208.9973187,3.3875E-08,-2.09E+02,-209.1497073
32.5715358,-216.6008718,-216.6855026,0.000000034,-205.8820062,-205.9737801
32.64330502,-202.8244126,-202.9502415,3.4125E-08,-162.9866078,-163.101484
32.76096946,-109.3723437,-109.5174655,3.425E-08,-8.60E+01,-86.13611796
32.87863391,30.78014334,30.67800553,3.4375E-08,24.24296231,24.16258123
32.99629835,157.8582683,157.8426279,3.45E-08,124.0953444,124.0827384
33.1139628,217.4105455,217.4874712,3.4625E-08,1.69E+02,169.2640724
33.23162724,180.5497863,180.6855168,3.475E-08,140.5742524,140.6806098
33.34929168,63.7379593,63.87374843,3.4875E-08,50.66776848,50.7744453
33.46695613,-79.2142493,-79.13662624,0.000000035,-6.22E+01,-62.10077433
33.58462057,-188.0619806,-188.0752971,3.5125E-08,-148.5281614,-148.5381824
33.70228501,-217.8420735,-217.9397386,3.525E-08,-170.1328718,-170.2091356
33.81994946,-152.203763,-152.342974,3.5375E-08,-1.18E+02,-117.7703852
33.9376139,-17.48050172,-17.60103193,3.55E-08,-14.01577014,-14.11051425
34.05527835,124.1722228,124.1219455,3.5625E-08,95.83555602,95.79566449
34.17294279,209.1516138,209.1923609,3.575E-08,1.63E+02,163.5035387
34.29060723,202.7719708,202.8851319,3.5875E-08,158.8947623,158.9831545
34.40827168,108.6379107,108.7739482,0.000000036,84.78616075,84.89283663
34.52593612,-33.19964931,-33.09945861,3.6125E-08,-2.58E+01,-25.72406854
34.64360056,-160.2438988,-160.2220853,3.625E-08,-124.9835132,-124.9658359
34.76126501,-216.7673771,-216.8322131,3.6375E-08,-169.9018909,-169.9521862
34.87892945,-179.559883,-179.6822871,3.65E-08,-1.41E+02,-140.9206552
34.99659389,-64.88251323,-65.00909726,3.6625E-08,-50.57369641,-50.67307756
35.11425834,78.41249013,78.33613194,3.675E-08,61.07761674,61.01726486
35.23192278,187.0377467,187.043627,3.6875E-08,1.46E+02,145.5239876
35.34958723,212.6275177,212.7118433,0.000000037,166.2544654,166.3200624
35.46725167,145.471184,145.5964979,3.7125E-08,114.3276374,114.4256984
35.58491611,16.02775708,16.13955349,3.725E-08,1.26E+01,12.67963296
35.70258056,-120.2876983,-120.237232,3.7375E-08,-94.2261677,-94.1860167
35.820245,-204.4800925,-204.5115869,3.75E-08,-159.5654083,-159.5894072
35.93790944,-198.8431182,-198.9415824,3.7625E-08,-1.55E+02,-155.2778109
36.05557389,-105.9221402,-106.0440348,3.775E-08,-83.14171367,-83.2371894
36.17323833,32.55969088,32.4672036,3.7875E-08,24.93498895,24.86209123
36.29090278,155.7921181,155.7682173,0.000000038,1.21E+02,121.3492485
36.40856722,210.177713,210.2312935,3.8125E-08,163.9829937,164.0242682
36.52623166,172.1738692,172.280319,3.825E-08,134.700841,134.7838706
36.64389611,59.22396898,59.33644771,3.8375E-08,4.68E+01,46.86532259
36.76156055,-78.61972778,-78.54967385,3.85E-08,-61.29909043,-61.24362594
36.87922499,-181.8221498,-181.8236996,3.8625E-08,-142.3320351,-142.3324551
36.99688944,-206.0443424,-206.1152364,3.875E-08,-1.61E+02,-161.0004877
37.11455388,-140.0690789,-140.1772758,3.8875E-08,-109.1076916,-109.1921982
37.23221833,-12.17104087,-12.26916006,0.000000039,-9.5763422,-9.6534751
37.34988277,120.9163945,120.8703256,3.9125E-08,9.40E+01,93.92217161
37.46754721,200.0889385,200.1135033,3.925E-08,155.8827841,155.9011975
37.58521166,190.8491737,190.9320695,3.9375E-08,148.9545718,149.0188851
37.7028761,97.8202051,97.92426694,3.95E-08,7.65E+01,76.62504246
37.82054054,-37.76183439,-37.68198457,3.9625E-08,-29.16408287,-29.10112551
37.93820499,-156.1483708,-156.1265179,3.975E-08,-121.6676873,-121.6497727
38.05586943,-205.5735401,-205.6175609,3.9875E-08,-1.60E+02,-160.464778
38.17353387,-164.7139157,-164.8030381,0.00000004,-128.4748525,-128.544128
38.29119832,-51.37616485,-51.47069505,4.0125E-08,-39.91532451,-39.98937941
38.40886276,84.88326671,84.82427929,4.025E-08,6.62E+01,66.13668843
38.52652721,183.7430507,183.7440719,4.0375E-08,143.0961079,143.0960541
38.64419165,201.3089491,201.3678288,4.05E-08,157.0583095,157.1036324
38.76185609,130.3735682,130.4631929,4.0625E-08,1.02E+02,102.1968277
38.87952054,2.945122764,3.02582662,4.075E-08,2.726935687,2.790291822
38.99718498,-124.9196968,-124.8826093,4.0875E-08,-97.33357281,-97.30389022
39.11484942,-197.6122684,-197.6336071,0.000000041,-1.54E+02,-154.2967495
39.23251387,-183.642092,-183.7108896,4.1125E-08,-143.3747049,-143.4278597
39.35017831,-89.13714147,-89.22211243,4.125E-08,-69.46054288,-69.52679134
39.46784276,44.72100628,44.65730697,4.1375E-08,3.51E+01,35.04245324
39.5855072,159.3223318,159.3070189,4.15E-08,124.366799,124.354101
39.70317164,204.0125917,204.050895,4.1625E-08,159.0665684,159.0957059
39.82083609,158.810805,158.8843928,4.175E-08,1.24E+02,124.0070883
39.93850053,43.88762287,43.96328158,4.1875E-08,34.57090997,34.62999636
40.05616497,-89.66898506,-89.62440012,0.000000042,-69.6701532,-69.63485387
40.17382942,-183.2279293,-183.2329893,4.2125E-08,-1.43E+02,-142.9818746
40.29149386,-196.2883534,-196.3393491,4.225E-08,-153.3188742,-153.3580103
40.4091583,-123.4098191,-123.4830314,4.2375E-08,-96.35777772,-96.41460273
40.52682275,3.572797925,3.510143647,4.25E-08,2.76E+00,2.711741794
40.64448719,128.9313893,128.906515,4.2625E-08,100.4394803,100.4195469
40.76215164,197.3061627,197.3289502,4.275E-08,153.8019002,153.8190155
40.87981608,178.6724111,178.7315161,4.2875E-08,1.40E+02,139.8151539
40.99748052,82.232982,82.30135764,0.000000043,65.27321388,65.32636152
41.11514497,-48.12598332,-48.078793,4.3125E-08,-36.36143056,-36.32441367
41.23280941,-154.9558431,-154.950185,4.325E-08,-1.21E+02,-120.9013951
